filename,label,frame_idx,rms,zcr,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
Normal Conversation - Dataset 1.m4a,normal_conversation,0,0.0007303999154828489,0.16259765625,1496.2149362587124,-720.3588256835938,57.3159065246582,39.54615020751953,24.539897918701172,18.307985305786133,16.58454132080078,12.69842529296875,6.401999473571777,3.1327168941497803,5.82200813293457,10.29806900024414,10.040876388549805,3.925034761428833
Normal Conversation - Dataset 1.m4a,normal_conversation,1,0.0012619832996279001,0.16455078125,1314.9420904270478,-618.212890625,115.3309097290039,24.82693099975586,32.47137451171875,21.282981872558594,14.092249870300293,17.609437942504883,4.2086286544799805,-1.991365909576416,4.80305814743042,14.588369369506836,14.892341613769531,4.07196044921875
Normal Conversation - Dataset 1.m4a,normal_conversation,2,0.0017129330663010478,0.166015625,1165.0095065027358,-604.126220703125,123.4020004272461,29.119327545166016,34.59893035888672,27.70250701904297,16.30344581604004,14.621889114379883,4.092992305755615,-3.784877061843872,1.9845991134643555,10.203008651733398,13.798603057861328,3.7994368076324463
Normal Conversation - Dataset 1.m4a,normal_conversation,3,0.002146695274859667,0.0498046875,1159.3660549484493,-633.611572265625,117.88801574707031,50.32376480102539,25.946035385131836,38.6097412109375,23.177806854248047,9.376945495605469,2.4451537132263184,-3.679962635040283,-0.9706318974494934,8.735381126403809,12.231608390808105,5.576394081115723
Normal Conversation - Dataset 1.m4a,normal_conversation,4,0.0023430611472576857,0.01416015625,1438.1238765915564,-622.3692626953125,101.90474700927734,57.95469665527344,23.804645538330078,42.342498779296875,26.86460304260254,5.29576301574707,5.516350746154785,-2.797280788421631,2.599416732788086,5.982845306396484,11.790779113769531,11.347875595092773
Normal Conversation - Dataset 1.m4a,normal_conversation,5,0.0023780588526278734,0.01318359375,2025.7519035095147,-614.0931396484375,82.67111206054688,57.055389404296875,24.143089294433594,38.2327880859375,25.88269805908203,4.12351131439209,9.042238235473633,-0.5532451272010803,1.775075912475586,7.7391462326049805,14.289783477783203,9.431035995483398
Normal Conversation - Dataset 1.m4a,normal_conversation,6,0.0022972053848206997,0.01806640625,1962.331956875697,-611.4239501953125,82.96368408203125,56.462677001953125,23.632022857666016,37.900360107421875,25.67963218688965,8.16562557220459,11.321765899658203,-2.048186779022217,3.888160228729248,12.765558242797852,18.22556495666504,9.013373374938965
Normal Conversation - Dataset 1.m4a,normal_conversation,7,0.0021002457942813635,0.01806640625,1689.7929027409355,-618.9773559570312,94.60211944580078,46.81910705566406,15.892148971557617,40.62723159790039,30.006668090820312,9.353130340576172,15.53427791595459,4.234545707702637,3.1112794876098633,11.1015043258667,15.380863189697266,8.344961166381836
Normal Conversation - Dataset 1.m4a,normal_conversation,8,0.0018804651917889714,0.01904296875,1497.9014173023343,-628.2617797851562,102.89471435546875,43.00555419921875,18.659170150756836,40.276851654052734,28.262264251708984,6.261640548706055,12.787151336669922,6.100903511047363,2.9807300567626953,6.32456111907959,13.119664192199707,9.427358627319336
Normal Conversation - Dataset 1.m4a,normal_conversation,9,0.0017265069764107466,0.025390625,2310.216816923415,-628.0469970703125,82.164306640625,53.969764709472656,16.9270076751709,39.572898864746094,22.304302215576172,-1.9760355949401855,13.758014678955078,-2.9064598083496094,6.871209144592285,6.817017555236816,15.329007148742676,9.852733612060547
